eva,decoded,language
dald,ATT,latin
saiiny,ET,latin
cheeokeey,BIS,latin
okoraiin,GARAMN,latin
osary,ARS,latin
doror,OR,occitan
shokeeey,FACIES,latin
oqoeeol,NAIAT,latin
sorary,ARS,latin
olcheom,DEUM,latin
qkeeody,NCEAUS,latin
cheeeal,DIAT,latin
kchdol,LAEDIT,latin
oteeod,FCEAT,latin
okeeeol,GIEAT,latin
shotey,las,occitan
olcheeol,DIAT,latin
kalshey,HEC,occitan
soraly,FRATS,latin
qokeeeor,RECIPE,latin
sholdaiin,OLEUM,latin
chkeeody,BINUS,latin
keodal,GIAUAT,latin
doeey,FIS,latin
dykeor,QUCEAR,latin
kolor,FLORA,latin
soeees,FIES,latin
sheeoy,FAC,latin
odeeeey,FUIES,latin
soiir,VER,latin
odey,ES,latin
eeos,SED,latin
keeeos,GIAS,latin
ron,OM,latin
kochor,VER,latin
kolcheey,DIS,latin
deody,ALIUS,latin
chdarol,ROTA,latin
lteody,SANC,latin
lkeor,GEOR,latin
sholkar,GARUM,occitan
oteys,FCISS,latin
pcheam,DEAM,latin
sokedy,FACITIS,latin
dalshy,ATHS,latin
olcheedar,DIUAR,latin
lotos,LAS,occitan
dalkain,BAIN,occitan
seedy,IUS,latin
shalky,AC,occitan
chalal,ALOE,latin
chedan,DUM,latin
opalam,AM,latin
oqaiin,NAMN,latin
olan,AN,occitan
oqokeey,NOCIS,latin
shdpchy,ARIETE,latin
chsaly,ALS,occitan
okaim,FOCAN,occitan
shodor,FUOR,latin
shtey,TES,latin
dsheoy,FAC,latin
charaiin,AMARA,latin
olkeeodal,GIAUAT,latin
qekeeey,NECIS,latin
olcheear,DECOR,latin
lkeodaiin,GEAUAMN,latin
oksheey,GHIS,latin
lcheeey,DIES,latin
olkeeos,GIAS,latin
cheoain,DEAAMN,latin
cheetar,DECAR,latin
dadam,AUAM,latin
shokchey,FOCES,latin
pchoror,RORIS,latin
lcheed,DIT,latin
orodam,RAUAM,latin
qodan,DICERE,latin
yteeeody,SIDUS,latin
aiirody,FIDES,latin
dyaiin,AMARA,latin
teeor,CERA,latin
lksheey,GHIS,latin
oteeeos,LIAS,latin
aiiral,AIRAT,occitan
chekaim,DECAN,latin
opail,AIT,latin
aiildy,AITUS,latin
kodeey,FUIS,latin
ted,TIT,latin
chkas,GAS,latin
olkeeol,GEERAT,latin
fcheeody,JEAUS,latin
ookam,FOCAM,latin
lkeedal,GIUAT,latin
kail,AIT,latin
kalchedy,DEUS,latin
opaiim,AMARA,latin
qolkaiin,BAIN,occitan
lkaiir,BAIR,occitan
porair,AURUM,latin
lpaim,AMARA,latin
alkeey,ATCES,latin
alcheey,DES,occitan
kchdaldy,LATUS,latin
lfcheedy,JEUS,latin
aiil,AIT,latin
oaldar,DICIT,latin
okshed,GHET,latin
cheees,IES,latin
okeees,FACIS,latin
ocheedy,DIUS,latin
lkeeeody,BINUS,latin
sail,AIT,latin
poral,AL,occitan
olteeedy,SITIS,latin
shotchey,LAS,occitan
loain,FAN,latin
shypchedy,DEUS,latin
loror,OR,occitan
sholkair,BAIR,occitan
lolkair,BAIR,occitan
ysheody,QUHIAUS,latin
shsy,SIC,latin
sheodar,HIAUAR,latin
saram,AM,latin
dychy,DIES,latin
kcheodar,DICIT,latin
kolchedy,MEUS,latin
kalos,ATAS,latin
oqotaiin,NOTAM,latin
otaraiin,TARAMN,latin
losaiin,AMARA,latin
pchod,DAT,latin
lkaiiin,GAMIN,latin
chdalal,ALOE,latin
shalkaiin,ALBUM,latin
opaim,AMARA,latin
kchekain,DECAN,latin
cheear,DECOR,latin
solain,AN,occitan
palar,AD,latin
opalkam,ATCAM,latin
opalkar,GARUM,occitan
kolkar,GARUM,occitan
ltam,TAM,latin
sokod,FCAT,latin
dyair,QUAIR,latin
oloeeey,FEIS,latin
keeeo,GIO,latin
kaiis,AMS,latin
keeedal,GIUAT,latin
soain,FAN,latin
choked,FCET,latin
shokeedar,FCIUAR,latin
kedal,GIUAT,latin
shkeedy,BIS,latin
saithy,AICHS,latin
ycheeor,DECOR,latin
chalkeedy,BIS,latin
ychedain,QUEUAMN,latin
alkan,ATCAM,latin
sheedain,LAIN,occitan
okeedain,GIUAIN,latin
olkeoy,GEAS,latin
otedain,TEUAIN,latin
kaithy,AICHS,latin
olcheeey,DIES,latin
lotedaiin,LAUUM,latin
cheeedaiin,DIUUM,latin
okeedaiin,FACEUUM,latin
olcheees,DEIS,latin
sheeal,HALAT,latin
leeey,IES,latin
cheekeey,DECIS,latin
sheeain,HEAIN,latin
ykeedaiin,QUCIUAIN,latin
dsheeo,HIO,latin
ykeeeos,QUCIAS,latin
shtar,TARTARUM,latin
loedy,FTIS,latin
lkaim,BAIN,occitan
lchr,DA,latin
qoteedaiin,SEVUM,latin
teedain,TEUAIN,latin
shkey,GENUS,latin
cholkeeedy,GEITIS,latin
qoeeeo,NAIO,latin
pykeor,QUCEAR,latin
lcheeol,DIAT,latin
qokeeal,NOCEAT,latin
lkedar,GEUAR,latin
lkeedain,GIUAIN,latin
qeear,NEAR,latin
polkeeo,GIO,latin
okshdy,GHUS,latin
sheokain,HEACAMN,latin
chalkain,BAIN,occitan
shykaiin,QUAM,latin
sheekain,BAIN,occitan
lshekain,BAIN,occitan
lkeeed,GIT,latin
chokeal,FACEAT,latin
teeodain,TIAUAMN,latin
psalar,SATAR,latin
odys,QUS,latin
solol,FUIT,latin
poir,FIR,latin
lshdar,HUAR,latin
shkeor,GEOR,latin
palkeedy,BIS,latin
cheeoldy,DENS,latin
pcheokeey,BIS,latin
ocheor,DECOR,latin
ochos,DOS,latin
olkeedain,GIUAIN,latin
dcheoty,SIC,latin
chalor,OR,occitan
sairal,AIRAT,occitan
keeeody,BINUS,latin
sheedar,DICIT,latin
opcheed,DIT,latin
ooeeor,FIAR,latin
ypcheedy,DEUS,latin
shchs,DES,occitan
kcheeos,DIES,latin
sokal,FACIT,latin
chykeor,QUCEAR,latin
kotchy,LAUDIS,latin
shoteol,LAETO,latin
shaiiin,AMARA,latin
sheeodaiin,FUMUM,latin
pchodair,DAUAIR,latin
shotedy,LAETUS,latin
chfchol,JAT,latin
kchdaiin,DUM,latin
lchod,DAT,latin
cheeeo,DEO,latin
lshdaiin,HUUM,latin
lkeeos,GIAS,latin
pcheodaiin,OLEUM,latin
sholkeechy,FACITIS,latin
okeeodar,DICIT,latin
keeodar,GEAUAR,latin
otsheody,THEAUS,latin
ycheeol,DEDIT,latin
otecheedy,LAETIS,latin
teear,TEAR,latin
osheol,HERBA,latin
qoeeeey,NOEIS,latin
okeeeody,FACITIS,latin
teeo,TEO,latin
keeed,GIT,latin
ochedal,DICAT,latin
qokeedaiin,NOCEUUM,latin
dcheod,DEAT,latin
kolky,AC,occitan
teos,TIAS,latin
opdairody,FIDES,latin
pairody,FIDES,latin
lchedo,DEUO,latin
dkair,BAIR,occitan
olkaiir,BAIR,occitan
ksam,AM,latin
lked,GIT,latin
dshedal,DICIT,latin
oeos,SED,latin
ochedain,DICAN,latin
pcheodal,DICIT,latin
osheeo,HIO,latin
shdo,ALBA,latin
qolcheey,NAS,latin
olkaim,BAIN,occitan
shoko,FCO,latin
eeo,DEO,latin
chorar,AD,latin
otchedar,TEUAR,latin
cpholrory,RARS,latin
pcheodain,LAIN,occitan
lksho,GHO,latin
pcheed,DIT,latin
qokeeeos,SED,latin
lraly,RATS,latin
ycheedaiin,QUEUAMN,latin
rodain,RENUM,latin
opchepy,DEPS,latin
kolchey,DES,occitan
cholaiim,FILUM,latin
padar,ADAR,hebrew
osheeky,HIBIS,latin
okeedam,FCEUAM,latin
porchey,DES,occitan
sykar,QUARE,latin
lkan,GAN,latin
shr,SHOR,latin
dlay,DELI,hebrew
oteoly,TELI,hebrew
oteeoly,TELI,hebrew
ockhodar,ADAR,hebrew
doaro,ADAR,hebrew
okady,GEDI,hebrew
oekaody,GEDI,hebrew
okodeey,GEDI,hebrew
ykalo,IGGUL,latin
ykeal,IGGUL,latin
yokal,IGGUL,latin
orkeeey,RAKIA,latin
docheeo,DAKAH,latin
oteotey,TELI,hebrew
tochon,TOCHEN,latin
kodo,KAD,latin
mar,MOR,latin
rcho,RACH,latin
orcho,RACH,latin
tshey,TZORI,latin
otshey,TZORI,latin
tshy,TZORI,latin
lkl,LACH,latin
soeom,SAM,latin
cphealy,ELI,latin
seoar,SERO,latin
seear,SERO,latin
aros,ROS,latin
gaiin,GAN,latin
taor,TERRA,latin
eteor,TERRA,latin
otaro,TERRA,latin
qocheor,DECOR,latin
qooko,FCO,latin
qoykeeey,BIS,latin
qotoees,TAIS,latin
qochodaiin,ODORATUM,latin
qoctholy,FLOS,latin
qotoiin,TAMN,latin
qodor,LUX,latin
qocky,DECUS,latin
qopchaiin,EM,latin
qolody,FIDES,latin
qopcheody,DECUS,latin
qodol,LAEDIT,latin
qodom,OM,latin
qofchor,JAR,latin
qodary,ARS,latin
qooiiin,FMIN,latin
qochar,DARE,latin
qoldar,DICIT,latin
qooldy,ALIUS,latin
qoypchol,DAT,latin
qoshy,HIC,latin
qotoldy,TATUS,latin
qotydy,TSUS,latin
qotshol,THAT,latin
qockhom,OM,latin
qotodaiin,TAUAMN,latin
qoctchey,DES,occitan
qotoly,TATS,latin
qocheky,DICIS,latin
qooto,FCO,latin
qolshdy,HIS,occitan
qolol,FUIT,latin
qoqokeey,NOCIS,latin
qolshey,HEC,occitan
qolkchy,BONUS,latin
qolair,AURUM,latin
qoolkal,CALE,latin
qoyky,QUOS,latin
qolsheedy,HUIUS,latin
qodykey,GENUS,latin
qolshedy,HEUS,latin
qolsheey,HIS,occitan
qolcheol,DEDIT,latin
qorchedy,DEUS,latin
qoltedy,TEUS,latin
qorar,RARO,latin
qoldy,ALIUS,latin
qodched,DEUS,latin
qolchdy,DATUS,latin
qolteedy,SITIS,latin
qofchdy,JUS,latin
qoseey,IS,latin
qoteeos,TIAS,latin
qopydaiin,OLEUM,latin
qoolkaiin,AM,latin
qopcheeody,DECUS,latin
qocthsy,SIC,latin
qockhoy,FAC,latin
qopcholy,FLOS,latin
qoaikhy,AICHS,latin
qoda,LA,latin
qopdol,LAEDIT,latin
qocheoty,SIC,latin
qotodain,TAUAIN,latin
qoshocphy,HORAS,latin
qopchedal,DICAT,latin
qotchos,TOS,latin
qoolkeey,FACITIS,latin
qoorar,AD,latin
qoochey,FECES,latin
qooiin,VINUM,latin
qoodain,FANUM,latin
qoshedy,HEUS,latin
qoctheody,ALIUS,latin
qocheeol,DIAT,latin
qoykeey,QUAM,latin
qosaiin,SUMMA,latin
qoteodaiin,TEAUAMN,latin
qodos,OS,latin
qopdaiin,OLEUM,latin
qocheo,DEO,latin
qotoky,TACS,latin
qoteos,TIAS,latin
qosheo,HUC,latin
qocheol,DEDIT,latin
qopchedaiin,DEUM,latin
qopchody,ODORATUS,latin
qopchear,DECOR,latin
qosain,SAIN,occitan
qoees,IS,latin
qopoiin,VINUM,latin
qopcheos,DEOS,latin
qotos,TOS,latin
qoochy,FAC,latin
qochedain,DICAN,latin
qockheos,SED,latin
qoolkeedy,FACITIS,latin
qolcheor,DECOR,latin
chd,CHAD,latin
chckhd,CHAD,latin
chad,CHAD,latin
told,TLATA,latin
otald,TLATA,latin
shd,ASHTA,latin
tochol,TICHLA,latin
etchal,TICHLA,latin
damo,DAMA,latin
chotom,CHATAM,latin
tcheen,TACHHAN,latin
okom,UKMA,latin
okeom,UKMA,latin
okeeom,UKMA,latin
keeees,KASA,latin
okaiis,KASA,latin
dasain,TZON,latin
okolor,COLARE,latin
okolar,COLARE,latin
oaorar,ARARE,latin
okaram,GARMA,latin
cheel,CHALA,latin
tchom,TACHHAN,latin
tcheain,TACHHAN,latin
shodary,ARS,latin
kodshey,HEC,occitan
okodar,ODAR,occitan
kychol,QUAT,latin
dycphy,QUS,latin
daiildy,AITUS,latin
sochol,FEL,latin
qokshol,GHAT,latin
dkshy,HIC,latin
shotshy,TZORI,latin
kocheor,DECOR,latin
olchad,CHAD,latin
doldom,OM,latin
qokom,OM,latin
kshchol,DAT,latin
pshoain,FAN,latin
oporody,RAUS,latin
dotar,LAR,latin
shoyty,QUAS,latin
soydy,ALIUS,latin
okorory,RARS,latin
okald,ATT,latin
dytaiin,QUANTUM,latin
dorody,RAUS,latin
sdain,LAIN,occitan
sychor,DEA,latin
dychor,DEA,latin
shtshy,TZORI,latin
koshet,HE,latin
okchom,OM,latin
qokoiir,VER,latin
dychol,QUAT,latin
okshal,SAL,latin
qokchos,GAS,latin
qokchs,DES,occitan
ssoaiin,FAMA,latin
qokoiin,GAMN,latin
kolyky,QUOS,latin
olotchy,LAUDIS,latin
olshly,ET,latin
dydal,DICIT,latin
dydar,QUUAR,latin
shoaldy,ALTUS,latin
shkshy,HIC,latin
otshy,TZORI,latin
porory,RARS,latin
okokom,UKMA,latin
kochky,DECUS,latin
okoeos,SED,latin
qokoral,AL,occitan
okshes,HABES,latin
shotco,SCABIE,latin
doshos,SED,latin
qokshe,HE,latin
shycho,DEO,latin
okchesy,ET,latin
qokochy,FAC,latin
ldydain,LAIN,occitan
sshokey,GENUS,latin
dshar,HORA,latin
olokes,FACES,latin
lshaiir,AER,latin
sorchy,FORS,latin
dydaiin,OLEUM,latin
oscho,DEO,latin
qokchon,OM,latin
okseey,IS,latin
qokyl,QUT,latin
scheam,DEAM,latin
posheor,HORROR,latin
shodody,FIDES,latin
pdsairy,ET,latin
shorody,RAUS,latin
dykar,QUARE,latin
dyfchdy,ALIUS,latin
psheot,HUC,latin
qolsor,SERUM,latin
shoqoky,NOCS,latin
koddy,ALIUS,latin
kolotam,OLEUM,latin
poshody,HORTUS,latin
qokodar,ODAR,occitan
sotar,LAR,latin
oltshey,TZORI,latin
okchd,CHAD,latin
soeos,SED,latin
dkals,SED,latin
qokalam,AM,latin
okalys,ATSS,latin
dshaly,ALS,occitan
qokalor,OR,occitan
qokalos,ATAS,latin
poaly,ALS,occitan
qokalar,AD,latin
okorair,AURUM,latin
kodary,ARS,latin
lpchees,DEIS,latin
shsopam,AM,latin
soairal,AIRAT,occitan
sosaiir,AER,latin
soshe,HE,latin
okadar,ADAR,hebrew
osalal,ALOE,latin
okchoal,DOLOR,latin
okodaly,FUATS,latin
qokool,FAT,latin
odchd,CHAD,latin
okoldam,DICERE,latin
okchyd,QUT,latin
okosy,SIC,latin
dkochy,FAC,latin
okolair,AURUM,latin
okydy,ALIUS,latin
dolaram,AM,latin
okeeees,KASA,latin
shsky,AC,occitan
okochey,FECES,latin
okalam,AM,latin
okoey,FECES,latin
oleeo,DEO,latin
okches,DES,occitan
odees,IS,latin
olkydar,QUUAR,latin
olyshey,HEC,occitan
shalshy,ATHS,latin
loydain,LAIN,occitan
qolydar,QUUAR,latin
olshty,SIC,latin
qokalom,OM,latin
ldsaiin,SUMMA,latin
olked,GIT,latin
shlches,DES,occitan
lkodol,FUAT,latin
olkchs,DES,occitan
dolchl,DAT,latin
sosoral,SARAT,latin
okalo,ATO,latin
pshorol,FORAT,latin
qokched,DEUS,latin
olkory,FORS,latin
olkshey,HEC,occitan
qokoin,FIN,latin
koroiin,VINUM,latin
qokail,AIT,latin
oklor,LOR,occitan
polshol,HABET,latin
qopalor,OR,occitan
dkshey,HEC,occitan
kolshd,ASHTA,latin
okchhy,DIES,latin
qokalol,ALOE,latin
ololary,ARS,latin
okail,AIT,latin
doledy,EIUS,latin
soeeedy,IEUS,latin
okshd,ASHTA,latin
qokoror,OR,occitan
qopchd,CHAD,latin
qopary,ARS,latin
lkalol,ALOE,latin
losair,SATUR,latin
sorory,RARS,latin
sokoldy,ALIUS,latin
okchshy,HIC,latin
kolches,DES,occitan
qokos,GAS,latin
schty,SIC,latin
lpychol,QUAT,latin
sykeeol,QUCIAT,latin
kodshol,HABET,latin
okcheod,DEAT,latin
olkees,IS,latin
olokchy,FACIS,latin
kshdor,LUX,latin
okeesy,ISS,latin
lshee,HE,latin
qokoly,ET,latin
olcheem,DIN,latin
oolsal,SAL,latin
shcty,SIC,latin
darary,ARS,latin
sosam,AM,latin
sofal,DOLOR,latin
odeor,RECIPE,latin
odariin,ARMN,latin
dolary,ARS,latin
opolkod,GAT,latin
kockhas,AS,latin
lkldy,ALIUS,latin
okool,FAT,latin
lkees,IS,latin
polshor,HORAM,latin
osaiiin,AMARA,latin
qokoeey,FIS,latin
shoda,LA,latin
oqockhy,NOS,latin
solchd,CHAD,latin
dlchd,CHAD,latin
dcheeoy,DEOS,latin
posairy,ET,latin
lkchs,DES,occitan
qokolky,AC,occitan
okaildy,AITUS,latin
lklor,LOR,occitan
pshoair,FAIR,occitan
okchdam,DICERE,latin
olkeees,IES,latin
lkshedy,HEUS,latin
qopches,DES,occitan
lkshey,HEC,occitan
polchs,DES,occitan
kolshes,HABES,latin
olkalol,ALOE,latin
kshdain,LAIN,occitan
polchls,SED,latin
okraiin,REM,latin
lcheel,CHALA,latin
poaral,AURAT,latin
lkchaly,ALS,occitan
lkedal,GIUAT,latin
oolals,SED,latin
olkeeed,GIT,latin
qokeoy,GEAS,latin
qoksheo,GHEO,latin
qokary,ET,latin
oeeeody,IAUS,latin
qopam,AM,latin
qopoeey,FIS,latin
lkches,DES,occitan
loary,ARS,latin
lkeees,IES,latin
okoeey,FIS,latin
dkchs,DES,occitan
qopdain,LAIN,occitan
qopeedy,IUS,latin
oaiil,AIT,latin
llsan,SAN,latin
shdalky,AC,occitan
posheos,HABES,latin
qopcham,DAM,latin
okalain,AN,occitan
qoklain,AN,occitan
kl,KOL,latin
lr,RECIPE,latin
ls,SED,latin
ety,DAI,latin
ekey,KI,latin
qy,KI,latin
ainy,ANI,latin
ds,ETZ,latin
okalchedy,DEUS,latin
okolchey,DES,occitan
okaraiin,AMARA,latin
okalaiin,AMARA,latin
okolaiin,FILUM,latin
saino,SANA,latin
ss,SED,latin
py,ET,latin
dr,RECIPE,latin
